symbol
SPY
QQQ
NVDA
TSLA
AMD
PLTR
SMCI
COIN
MSTR
HOOD
MARA
AVGO
MU
META
AMZN
AAPL
MSFT
SOFI
RIOT
CLSK
GME
ARM
ASTS
RGTI
IONQ
OKLO
QBTS
QUBT
DELL
INTC
TSM
NET
CRWD
RIVN
UBER
NFLX
RBLX
DKNG
RDDT
APP
PANW
SNOW
MDB
SHOP
SQ
PYPL
ABNB
CAVA
TEM
ANET
HIMS
LUNR
RDW
WOLF
HPE
MRVL
ON
LRCX
KLAC
AMAT
ASML
QCOM
FSLR
ENPH
CELH
ROKU
RKLB
JOBY
DDOG
DASH
PDD
BABA
FUTU
BILI
LI
XPEV
SE
PINS
LYFT
CVNA
AFRM
UPST
CCL
NCLH
UAL
DAL
F
FCX
CCJ
KGC
BTDR
HUT
IREN
CIFR
CORZ
TOST
SPOT
WULF
VRT
ORCL
ADBE
CRM
